name,classification,category,source,scope,url,NP_selflessness,NP_integrity,NP_objectivity,NP_accountability,NP_openness,NP_honesty,NP_leadership,NP_all,notes,url_source,code_url,code_name,match,level,adopts_7,principles_count_mentioned,NP_score,nolan_inconsistency,confidence,human_review,scraped_date

Burneside Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://burneside-pc.org.uk/,N,Y,N,N,N,N,N,No,,found_via_name_search,http://burneside-pc.org.uk/users/UserFiles/File/Minutes 29-07-2025 1 (1).pdf,Minutes July 25,code of conduct,individual,No,,1,No,Medium,No,2026-09-09






Burneston Parish Council,,Parish Council ,FOIA | ONA,IS,https://burneston-pc.co.uk/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09

"Burneston, Swainby-w-Allerthorpe and Theakston Parish Council",Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,

Budock Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.budockparish.net,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09


Burnham Market Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://burnhammarket.co.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09


Bugbrooke Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.bugbrookeparishcouncil.org,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Bugthorpe and Kirby Underdale Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.halifaxestates.co.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Burnham Norton Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,







Burnham Overy Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,


Burnham Thorpe Parish Council,,Parish Council ,FOIA | ONA,IS,https://www.burnhamthorpe-pc.gov.uk/,Y,Y,Y,Y,Y,Y,Y,Yes,,found_via_name_search,https://www.burnhamthorpe-pc.gov.uk/_files/ugd/839dc5_55451c2b6afe482eae2f8346de9e95d1.pdf,code of conduct,code of conduct; code of practice,individual,Yes,7,7,No,High,No,2026-09-09
Bulford Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.bulfordparishcouncil.org,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Bulkeley and Ridley Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.bulkeleyandridleypc.org.uk/,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09

Burnham Without Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://burnhamwithout-parishcouncil.co.uk/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09
Burnham-on-Crouch Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,



Burnham-on-Sea and Highbridge Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,
Bullington Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.bullingtonparishcouncil.org.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Burnhope Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burnhope-pc.gov.uk/,N,N,N,N,N,N,N,No,,found_via_name_search,https://www.burnhope-pc.gov.uk/other-documents/,Other Documents | Burnhope Parish Council,code of conduct,individual,No,,0,No,Medium,No,2026-09-09

Burnsall Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,
Bulwick Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.bulwickpc.org.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Burntwood Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,
Burpham Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,


Bunny Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.bunny.parish.email,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09






Burrill with Cowling Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,


Burrington Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://burrington.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09



Burbage Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burbage-council.co.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09


"Burbage Parish Council, Leicestershire",Local government,Parish Council ,FOIA | ONS,IS ,https://www.burbage-council.co.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09



Burrowbridge Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burrowbridgeparishcouncil.org/,Y,Y,Y,Y,Y,Y,Y,Yes,,found_via_name_search,https://www.burrowbridgeparishcouncil.org/wp-content/uploads/2015/07/DCLG-CodeofConduct.pdf,code of conduct,code of conduct,individual,No,,7,No,High,No,2026-09-09

































































































Burrow-with-Burrow Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,





Burstall Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://burstall-pc.gov.uk/,Y,Y,N,N,N,Y,N,No,,found_via_name_search,https://burstall-pc.gov.uk/assets/Parish-Council/Policies-Rules-and-Regulations/Media-Policy.pdf,Media-Policy.pdf,code of conduct; code of practice; standards of conduct,individual,No,,3,No,Medium,No,2026-09-09

Burstock Parish Council,,Parish Council ,FOIA | ONA,IS,https://burstock.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09







Burston and Shimpling Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://burstonandshimplingparishcouncil.gov.uk/,Y,Y,Y,Y,Y,Y,Y,Yes,,found_via_name_search,https://burstonandshimplingparishcouncil.gov.uk/wp-content/uploads/2026/05/Burston-and-Shimpling-Parish-Council-Code-of-Conduct.pdf,code of conduct,code of conduct,individual,No,,7,No,High,No,2026-09-09











Burtholme Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://www.burtholmeparish.org.uk/index.php?id=2,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09

Burtle Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://burtleparishcouncil.gov.uk/,Y,Y,Y,Y,Y,Y,Y,Yes,,found_via_name_search,https://burtleparishcouncil.gov.uk/wp-content/uploads/2026/02/LGA-Model-Councillor-Code-of-Conduct-CityTown-and-Parish-version-for-Somerset.pdf,code of conduct,code of conduct,individual,Yes,7,7,No,High,No,2026-09-09

Burton by Lincoln Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,

Burton Coggles Parish Council,,Parish Council ,FOIA | ONA,IS,https://burton-coggles.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09


Burton Constable Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,

Burton Green Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burtongreenparishcouncil.org/,Y,Y,Y,Y,Y,Y,Y,Yes,,found_via_name_search,https://www.burtongreenparishcouncil.org/uploads/1/0/0/6/100693498/lga_model_councillor_code_of_conduct_2020.pdf,code of conduct,code of conduct; code of practice,individual,Yes,7,7,No,High,No,2026-09-09

Burton Hastings Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,






Burton in Lonsdale Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burtoninlonsdaleparishcouncil.gov.uk/,N,N,N,N,N,N,N,No,,found_via_name_search,https://www.burtoninlonsdaleparishcouncil.gov.uk/wp-content/uploads/2026/05/2026-07-30-Rec-Committee-Agenda.pdf,View Agenda,code of conduct,individual,No,,0,No,Medium,No,2026-09-09



Burton Latimer Parish Council,,Parish Council ,FOIA | ONA,IS,https://burtonlatimertown.gov.uk/,N,N,N,N,N,N,N,No,,found_via_name_search,https://burtonlatimertown.gov.uk/wp-content/uploads/2026/09/Finance-Committee-Agenda-15-September-2026-1.pdf,Download,code of conduct; code of practice,individual,No,,0,No,Medium,No,2026-09-09



Burton Leonard Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burtonleonard-pc.gov.uk/community/burton-leonard-parish-council-20554/home/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09
Burton on the Wolds Parish Council,,Parish Council ,FOIA | ONA,IS,https://www.burtoncotesprestwold-pc.gov.uk/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09






Burgh-by-Sands Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burghbysandsparishcouncil.co.uk,N,N,N,N,N,N,N,No,,,https://www.burghbysandsparishcouncil.co.uk/wp-content/uploads/2021/07/Agenda-12.07.21.pdf,View Agenda ›,code of conduct,individual,No,,0,No,Low,Yes,2026-09-09

Burghclere Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burghclerepc.com,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09


















Burghfield Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://www.burghfieldparishcouncil.gov.uk,N,N,Y,N,N,N,N,No,,,https://www.burghfieldparishcouncil.gov.uk/wp-content/uploads/sites/115/2026/09/Parish-Council-Agenda-Sept-2026.pdf,"Opens in new tab 10 Sep Parish Council West Wing, Burghfield Village Hall @ 7.00pm Agenda",code of conduct; code of practice,individual,No,,1,No,Medium,No,2026-09-09
Burghill Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://burghillparishcouncil.gov.uk/,N,N,N,N,N,N,N,No,,,https://burghillparishcouncil.gov.uk/wp-content/uploads/2016/11/Steering-Group-ToR-v1.1.pdf,NDP Steering Group Terms of Reference,code of conduct,individual,No,,0,No,Medium,No,2026-09-09





"Burton on the Wolds, Cotes and Prestwold Parish Council",Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,




Burham Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burhampc.co.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Burton Pedwardine Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,



Burton Pidsea Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://parishcouncilburtonpidsea.com/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09







Burland Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burlandpc.org.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Burlescombe Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burlescombe.org,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09

Burton Salmon Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://burtonsalmon-pc.gov.uk/,N,N,N,N,N,N,N,No,,found_via_name_search,https://burtonsalmon-pc.gov.uk/wp-content/uploads/2026/05/BSPC-Annual-Meeting-of-the-Council-Agenda-May-2026.pdf,Annual Meeting of the Council Agenda,code of conduct,individual,No,,0,No,Medium,No,2026-09-09
Burton upon Stather Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://burtonuponstatherparishcouncil.gov.uk/,N,N,N,N,N,N,N,No,,found_via_name_search,https://burtonuponstatherparishcouncil.gov.uk/static/Agenda-16th-June-2026-b3cca2208f786fda656f8461c9b043b4.pdf,: Agenda - 16th June 2026,code of conduct; code of practice; standards of conduct,individual,No,,0,No,Medium,No,2026-09-09




Burton-cum-Walden Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://burton-cum-walden.parish.uk/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09


Burton-on-Yore Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,
Burtonwood and Westbrook Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,
Burwardsley Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burwardsley-pc.co.uk/,N,N,N,N,N,N,N,No,,found_via_name_search,https://www.burwardsley-pc.co.uk/_files/ugd/d24e29_17ccb9394ced4b5e97af3d040f64313d.pdf,Burwardsley Parish Council Meeting Minutes 30 / 3 / 2022,code of conduct,individual,No,,0,No,Medium,No,2026-09-09
Burwarton Parish Council,,Parish Council ,FOIA | ONA,IS,https://burwarton-pc.gov.uk/,N,N,N,N,N,Y,N,No,,found_via_name_search,https://burwarton-pc.gov.uk/wp-content/uploads/2015/08/DISCLOSABLE-PECUNIARY-INTERESTS-AND-THE-CODE-OF-CONDUCT1.pdf,code of conduct,code of conduct,individual,No,,1,No,Medium,No,2026-09-09
"Bury Parish Council, West Sussex",Local government,Parish Council ,FOIA | ONS,IS ,https://buryparishcouncil.org/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09








Bury St Edmunds Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,







Burythorpe Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://burythorpe.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09




Burley Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burleyparishcouncil.co.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09



Busbridge Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://busbridge.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09
















Buscot Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://buscotparishcouncil.com/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09

Bushwood Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,




Buslingthorpe Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,



Butcombe Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://www.butcombeparishcouncil.co.uk/,N,N,N,N,Y,N,N,No,,found_via_name_search,http://www.butcombeparishcouncil.co.uk/_UserFiles/Files/_Agendas/2935-Butcombe_Parish_Council_annual_parish_council_meeting_May_final.pdf,Agenda,code of conduct,individual,No,,1,No,Medium,No,2026-09-09
Butleigh Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://butleighvillage.co.uk/,Y,Y,Y,Y,Y,Y,Y,Yes,,found_via_name_search,https://butleighvillage.co.uk/wp-content/uploads/2026/02/LGA-Model-Councillor-Code-of-Conduct-CityTown-and-Parish-Councils.pdf,code of conduct,code of conduct,individual,Yes,7,7,No,High,No,2026-09-09




Butlers Marston Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.butlersmarstonvillage.co.uk/parish-council,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09





Butley Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,



"Butley, Capel St Andrew and Wantisden Parish Council",Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,
Buttercrambe with Bossall Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,


Butterleigh Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,

Butterton Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://butterton.org.uk/about-the-council,N,N,N,Y,Y,N,N,No,,found_via_name_search,https://butterton.org.uk/council-documents,Butterton Parish Council Latest Documents | Agendas & Minutes | Butterton,code of conduct,individual,No,,2,No,Medium,No,2026-09-09


















Butterwick Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://butterwick.parish.lincolnshire.gov.uk/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09









Buxhall Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://buxhall.onesuffolk.net/,Y,Y,Y,Y,Y,Y,Y,Yes,,found_via_name_search,https://buxhall.onesuffolk.net/assets/Uploads/Code-of-Conduct-May-2023.pdf,code of conduct,code of conduct; code of practice,individual,Yes,7,7,No,High,No,2026-09-09
Byford Parish Council,,Parish Council ,FOIA | ONA,IS,https://byford.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09


Bylaugh Parish Council,,Parish Council ,FOIA | ONA,IS,https://bylaugh.parish.uk/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09



Burnham Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://www.burnhamparish.gov.uk/,N,N,N,N,Y,N,Y,No,,,https://www.burnhamparish.gov.uk/civility-and-respect-pledge,Civility and Respect Pledge | Burnham Parish,code of conduct,individual,No,,2,No,Medium,No,2026-09-09
Byram cum Sutton Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,
Byton Parish Council,,Parish Council ,FOIA | ONA,IS,https://byton.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09


Cabourne Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,
Cabus Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://cabuspc.org.uk/index.php,N,N,N,N,N,N,N,No,,found_via_name_search,https://cabuspc.org.uk/kcfinder/upload/files/PandP/complaintspolicy.pdf,complaintspolicy.pdf,code of conduct,individual,No,,0,No,Medium,No,2026-09-09
Burniston Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://www.burnistonparishcouncil.org.uk/index.htm,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09

Cadeby Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://cadebyparishcouncil.gov.uk/,N,N,N,N,N,N,N,No,,found_via_name_search,https://cadebyparishcouncil.gov.uk/council-information,Cadeby Parish Council | Council Information,code of conduct,individual,No,,0,No,Medium,No,2026-09-09

Burrator Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burrator.gov.uk,N,N,N,N,N,N,N,No,,,https://burrator.gov.uk/wp-content/uploads/2023/03/StandingOrders-ChairmanBurrator2013.pdf,Download,code of conduct,individual,No,,0,No,Low,Yes,2026-09-09


Cadney Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,


Burringham Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burringhamparishcouncil.gov.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09

Caenby Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,

"Burrington Parish Council, Somerset",Local government,Parish Council ,FOIA | ONS,IS ,http://www.burrington-pc.org.uk/,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Burrough Green Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burroughgreenparishcouncil.org.uk,N,N,N,N,N,N,N,No,,,https://burroughgreenparishcouncil.org.uk/wp-content/uploads/2025/05/Annual-Meeting-of-Burrough-Green-Parish-Council-Agenda-19th-May-2025.pdf,Annual Parish Council Meeting Agenda,code of conduct,individual,No,,0,No,Medium,No,2026-09-09





Cainscross Parish Council,,Parish Council ,FOIA | ONA,IS,https://cainscross.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09
Burscough Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://burscoughparishcouncil.org/,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09



Bursledon Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.bursledon-pc.gov.uk,N,N,N,N,N,N,N,No,,,https://bursledon-pc.gov.uk/wp-content/uploads/2024/04/154866-Full_Notice_Board__Agenda_25_January_2023.pdf,Minutes,code of conduct,individual,No,,0,No,Medium,No,2026-09-09

Caistor Parish Council,,Parish Council ,FOIA | ONA,IS,https://caistor.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09






Caistor St Edmund and Bixley Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,




Calbourne Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.calbourneparishcouncil.org.uk/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09


Burstow Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burstowpc.co.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09



Burstwick Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://www.burstwickpc.co.uk/,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09


Calcethorpe with Kelstern Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,

Caldbeck Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.caldbeck.org.uk/parish-council/,N,Y,N,Y,Y,N,N,No,,found_via_name_search,https://www.caldbeck.org.uk/wp-content/uploads/sites/4/2021/04/2-Audit-Risk-Management-March-2021.pdf,2 Risk Management March 2021,code of conduct,individual,No,,3,No,Medium,No,2026-09-09

Burton Agnes Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://burtonagnesparishcouncil.eastriding.gov.uk/,Y,Y,Y,Y,Y,Y,Y,Yes,,,https://burtonagnesparishcouncil.eastriding.gov.uk/Data/Sites/54/media/policies-and-procedures/lga-model-councillor-code-of-conduct-2020-web.pdf,code of conduct,code of conduct,individual,Yes,7,7,No,High,No,2026-09-09

Burton and Dalby Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burtonanddalbypc.org.uk,N,N,N,N,N,N,N,No,,,https://www.burtonanddalbypc.org.uk/finance1,Finance | Burton & Dalby Parish Council,standards of conduct,individual,No,,0,No,Medium,No,2026-09-09

Caldbergh with East Scrafton Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,














Burton and Winkton Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://burtonparishcouncil.gov.uk/,N,N,N,N,N,N,N,No,,,https://www.burtonparishcouncil.gov.uk/the-council/members-code-of-conduct/,Members Code of Conduct | Burton Parish Council,code of conduct,individual,No,,0,No,Medium,No,2026-09-09
Burton Bradstock Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burtonbradstockparishcouncil.org,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Caldecote and Newnham Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,





Caldecott Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,

Caldwell Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,





Burton Dassett Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burtondassett-pc.gov.uk,Y,Y,N,Y,N,Y,N,No,,,http://burtondassett-pc.gov.uk/wp-content/uploads/simple-file-list/Policies-and-Standing-Orders/BDPC-Non-Financial-Standing-Orders-Adopted-18-May-2026.pdf,BDPC-Non-Financial-Standing-Orders-Adopted-18-May-2026.pdf,code of conduct,individual,No,,4,No,Medium,No,2026-09-09

Burton Fleming Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burtonflemingpc.co.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09


Calke Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,





Callaly Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,

Callington Parish Council,,Parish Council ,FOIA | ONA,IS,https://callington-tc.gov.uk/council/your-councillors/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09
Burton Joyce Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.burtonjoyceparishcouncil.org.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Callow Parish Council,,Parish Council ,FOIA | ONA,IS,https://callow.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09
Calne Parish Council,,Parish Council ,FOIA | ONA,IS,https://calne.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09






Calne Without Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,



Calow Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,

